train_loss,val_loss,train_acc,val_acc,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,val_score
1.087000919640714,0.9360256433959991,0.5849867724867724,0.6493055555555556,0.5802789684460554,0.6846263004330021,0.5842636710852956,0.6490852373025479,0.5815553038014445,0.6526965842593844,0.6505297760852825
0.8698034651963908,1.0064494394593768,0.6635251322751323,0.6378968253968254,0.6551464725865548,0.6718281831800712,0.6628893842864877,0.6378391447550767,0.6578150841785586,0.6312686085002969,0.6352109302531648
0.8105149617240812,0.8404475244737807,0.6994047619047619,0.6875,0.6919189827936891,0.7478669859478126,0.6986417494184528,0.687122420158461,0.6944088986720216,0.7012688105596229,0.6927809763189258
0.7557129069133919,1.0748893095860406,0.7154431216931217,0.6121031746031746,0.7088403583170754,0.6767045360106989,0.7146702396574949,0.611377415100095,0.7105392710490441,0.594872797746289,0.6047755681585726
0.7324619230201703,0.7059357142637647,0.7384259259259259,0.7485119047619048,0.7331260263394612,0.7663634086379988,0.7376997107013846,0.7480039271475503,0.7346642289395225,0.7529139387259755,0.7499679317789203
0.718043434450561,0.6874770418046012,0.7465277777777778,0.748015873015873,0.7407832724159611,0.7740377800983167,0.745884949793288,0.7473388435388993,0.7424491535359988,0.7226781375608254,0.7374745611476698
0.7032876036763388,0.7092278774768587,0.7491732804232805,0.7574404761904762,0.7444670663041427,0.7530366153283503,0.7485724615245445,0.7567714050657489,0.7454952104289961,0.7527970851777489,0.7551816771105488
0.689294763709359,0.6301893156672281,0.7516534391534392,0.7703373015873016,0.745951759909223,0.7718846979773398,0.7509637455049293,0.769634078419372,0.7477343278733295,0.7637584208006516,0.7672838153718838
0.6888599153158883,0.6768910459109715,0.7581018518518519,0.7728174603174603,0.7525494265789352,0.7911230631803914,0.7573364578682591,0.7723712983062037,0.7542230389032738,0.7670692280745769,0.770250470213553
0.678828565838867,0.6142458423735604,0.7610780423280423,0.8045634920634921,0.7557241339657794,0.809966149816278,0.7602982498489018,0.8040888025750881,0.7568990932094029,0.8022142327073503,0.803338974627993
0.6603428283303258,0.6009630889646591,0.7658730158730159,0.8020833333333334,0.7605206823803046,0.806617627768593,0.7651689343902455,0.8015472616647241,0.7622149805054851,0.7990658239372552,0.8005546865737365
0.6543761219645948,0.6480997966395484,0.7716600529100529,0.7827380952380952,0.7675115274069405,0.7838213038433258,0.7710740073300711,0.7822297795691641,0.7683319488730445,0.779573404840915,0.7811672296778644
0.6530742049807954,0.6453677330698285,0.7731481481481481,0.7762896825396826,0.7681248396780229,0.7753546655097517,0.7724174375821443,0.7756462274209337,0.7695199099099642,0.7705180578667125,0.7735949595992453
0.619910761275857,0.5953460834802143,0.7876984126984127,0.8005952380952381,0.7832143895565216,0.8054699182401197,0.7870682237152684,0.8000229556246872,0.784478839602379,0.7995301015365033,0.7998258139894137
0.6078010651393421,0.5664206182672864,0.7921626984126984,0.8110119047619048,0.7885058550604831,0.8083339313609625,0.7915444885573418,0.8104298966330712,0.7896502410612285,0.8066143146045578,0.8089036638216658
0.60926430998047,0.5697906729247835,0.7933201058201058,0.8169642857142857,0.7888763359967847,0.8205174026897133,0.7926286516733312,0.8164165414222208,0.7901029151963737,0.8142214994667469,0.8155385246400313
0.6037597692481432,0.6014029114019304,0.7979497354497355,0.8005952380952381,0.7949255310650558,0.7990376450944802,0.7974410180626432,0.7999854907739596,0.7957670608012644,0.7930557023125551,0.7972135753893979
0.6016733588895115,0.5382167377642223,0.7939814814814815,0.8263888888888888,0.789731440996692,0.8245629757258301,0.7933977124411414,0.8258470677459233,0.7910236209292532,0.8244273359147251,0.825279175013444
0.6038422197014891,0.5348772068345358,0.7953042328042328,0.8288690476190477,0.7919761824282336,0.8241249028970639,0.7946431045809315,0.8282805289792454,0.7927688652266472,0.8251828057403617,0.8270414396836919
0.5981152368765441,0.5921173462318996,0.7943121693121693,0.7961309523809523,0.7910013870479551,0.792945869615899,0.7937527197694212,0.7955470916366413,0.7920397647534323,0.7890733125928209,0.7929575800191131
0.5987276747394482,0.5366198479656189,0.798776455026455,0.8169642857142857,0.7944436651404285,0.8162296989748921,0.7980890622486961,0.8162847054850191,0.7957790033798412,0.8133718874519786,0.8151195782718028
0.5938883029394588,0.5721921625118407,0.8015873015873016,0.8139880952380952,0.7979797873631267,0.8229303243895979,0.8009999082388586,0.8134248355778935,0.7986231621613735,0.8037802898203209,0.8095670172748645
0.5735926295728782,0.5177081593918422,0.8138227513227513,0.84375,0.8100834134667803,0.8408757854357555,0.8131228659609491,0.8432088112928472,0.8111875388431631,0.8409519659333562,0.8423060731490508
0.5653853137618369,0.5315907564428117,0.816468253968254,0.8402777777777778,0.8132505782409524,0.8411795607093641,0.8158802046747221,0.8397542709165865,0.8141626714294947,0.8351461633179372,0.8379110278771269
0.5700130854891124,0.5117673329890721,0.8141534391534392,0.8432539682539683,0.8110753218180038,0.8402611443818448,0.8134669838380895,0.8427271832183383,0.8119989499244828,0.8405338545406724,0.8418498517472719
0.5660205786874832,0.5153693828790907,0.8128306878306878,0.8382936507936508,0.8101344131941752,0.8357546805439389,0.8121967134012117,0.8377335708837116,0.8107738045478385,0.8364076002708816,0.8372031826385795
0.5525123105019203,0.5268098965050683,0.8179563492063492,0.8382936507936508,0.814981956450719,0.8355404500728187,0.8173018396694463,0.8377261268073353,0.8160072512431645,0.8332994733745316,0.8359554654342138
0.5604760817737914,0.5109485047204154,0.8129960317460317,0.839781746031746,0.8101639839773405,0.8351647716415137,0.8124534647447407,0.8391769088417842,0.8107246971210446,0.8359421613112525,0.8378830098295715
0.5636337026338354,0.5160620997822474,0.8148148148148148,0.8368055555555556,0.8119606155126057,0.8342494083662251,0.814197060294202,0.8362716227346982,0.8127892946562655,0.8338396265377499,0.835298824255919
0.5534996296416662,0.504957909858416,0.8194444444444444,0.8501984126984127,0.817189833554297,0.8488003199545483,0.8188426215010072,0.8496974422996988,0.8178906358562712,0.8472898763249944,0.848734415909817
0.5509541723883346,0.5026045689980189,0.8186177248677249,0.8467261904761905,0.8154270529560279,0.8430611183434078,0.8180000378512391,0.8461668354418466,0.8162354698463048,0.8435553462921576,0.8451222397819709
0.5495333095017463,0.513585135577217,0.8202711640211641,0.8363095238095238,0.8165907836684181,0.832644716419456,0.8196610093819514,0.8357544427781857,0.8178121181274189,0.8328658899123935,0.8345990216318688
0.5586490323923978,0.5003982787094419,0.8240740740740741,0.847718253968254,0.8210618173107246,0.8450716211883342,0.8234410257586748,0.8471717246354251,0.8219174951790891,0.8444509955640273,0.846083433006866
0.5462595513050494,0.5036068695878225,0.8217592592592593,0.8462301587301587,0.8182987294250064,0.8423470989234841,0.8211223908275013,0.8456570384444984,0.8194816660303956,0.842838014035402,0.8445294286808598
0.5529611911716972,0.5027324779639168,0.8192791005291006,0.8467261904761905,0.8168858976779669,0.8431825614987796,0.8185507143071262,0.8461668354418468,0.8175579570681594,0.843342878902685,0.845037252826182
0.5466372586336316,0.5046149149300561,0.8187830687830688,0.8467261904761905,0.815412890258747,0.8433228257852076,0.8182329163968548,0.8461729777216151,0.8163785637168335,0.8433311085138635,0.8450362300385146
0.5447373646968341,0.5004234656928077,0.8225859788359788,0.8487103174603174,0.8190305041902552,0.8454166195441577,0.8219040670826221,0.8481618479106746,0.8200731008825638,0.8454274784449112,0.8470681001243692
0.5436314014778856,0.5040535680831425,0.8255621693121693,0.8472222222222222,0.8226574633225402,0.8437955651048166,0.8249369498394996,0.846659446279285,0.823478473988304,0.8438192199834311,0.8455233557609434
